,Year,Gender,Immigrants
700,2013,Female,421
701,2013,Female,464
702,2013,Female,381
703,2013,Female,39
704,2013,Female,217
705,2013,Female,68
706,2013,Female,338
707,2013,Female,285
708,2013,Female,469
709,2013,Female,164
710,2013,Female,64
711,2013,Female,326
712,2013,Female,32
713,2013,Female,290
714,2013,Female,77
715,2013,Female,237
716,2013,Female,830
717,2013,Female,545
718,2013,Female,258
719,2013,Female,407
720,2013,Female,856
721,2013,Female,539
722,2013,Female,404
723,2013,Female,189
724,2013,Female,691
725,2013,Female,261
726,2013,Female,568
727,2013,Female,360
728,2013,Female,446
729,2013,Female,505
