,Year,District Name,Age,Immigrants
386,2017,Sants-Montjuïc,25-29,303
387,2017,Sants-Montjuïc,25-29,611
388,2017,Les Corts,25-29,483
389,2017,Les Corts,25-29,282
390,2017,Les Corts,25-29,95
391,2017,Sarrià-Sant Gervasi,25-29,19
392,2017,Sarrià-Sant Gervasi,25-29,153
393,2017,Sarrià-Sant Gervasi,25-29,69
394,2017,Sarrià-Sant Gervasi,25-29,153
395,2017,Sarrià-Sant Gervasi,25-29,414
396,2017,Sarrià-Sant Gervasi,25-29,328
397,2017,Gràcia,25-29,136
398,2017,Gràcia,25-29,82
399,2017,Gràcia,25-29,142
400,2017,Gràcia,25-29,994
401,2017,Gràcia,25-29,472
402,2017,Horta-Guinardó,25-29,287
403,2017,Horta-Guinardó,25-29,99
404,2017,Horta-Guinardó,25-29,359
405,2017,Horta-Guinardó,25-29,52
406,2017,Horta-Guinardó,25-29,272
407,2017,Horta-Guinardó,25-29,106
408,2017,Horta-Guinardó,25-29,67
409,2017,Horta-Guinardó,25-29,65
410,2017,Horta-Guinardó,25-29,28
411,2017,Horta-Guinardó,25-29,4
412,2017,Horta-Guinardó,25-29,189
413,2017,Nou Barris,25-29,186
414,2017,Nou Barris,25-29,235
415,2017,Nou Barris,25-29,131
416,2017,Nou Barris,25-29,10
417,2017,Nou Barris,25-29,73
418,2017,Nou Barris,25-29,11
419,2017,Nou Barris,25-29,126
420,2017,Nou Barris,25-29,133
421,2017,Nou Barris,25-29,208
422,2017,Nou Barris,25-29,76
423,2017,Nou Barris,25-29,11
424,2017,Nou Barris,25-29,136
425,2017,Nou Barris,25-29,8
426,2017,Sant Andreu,25-29,106
427,2017,Sant Andreu,25-29,9
428,2017,Sant Andreu,25-29,113
429,2017,Sant Andreu,25-29,332
430,2017,Sant Andreu,25-29,268
431,2017,Sant Andreu,25-29,101
432,2017,Sant Andreu,25-29,202
433,2017,Sant Martí,25-29,549
434,2017,Sant Martí,25-29,298
435,2017,Sant Martí,25-29,213
436,2017,Sant Martí,25-29,65
437,2017,Sant Martí,25-29,375
438,2017,Sant Martí,25-29,93
439,2017,Sant Martí,25-29,318
440,2017,Sant Martí,25-29,189
441,2017,Sant Martí,25-29,219
442,2017,Sant Martí,25-29,191
443,2017,No consta,25-29,1
444,2017,Ciutat Vella,30-34,940
445,2017,Ciutat Vella,30-34,470
446,2017,Ciutat Vella,30-34,314
447,2017,Ciutat Vella,30-34,469
448,2017,Eixample,30-34,364
449,2017,Eixample,30-34,589
